Species,Plant type,Leaf Habit,Biome,Leaf T,Irradiance PAR,gm,A_area,g_s,Ca,Ci,Cc,LMA,K_leaf,VLA
Arbutus unedo,Woody,Evergreen,Semi-arid,,,0.161,9.7,0.08,350,228.8,168.5,,,
"Astrotrichia 
floccosa",Woody,Deciduous,Semi-arid,25,1000,0.111,9.19,0.112,376.4,292.8,209.4,66,,
Banksia aemula,Woody,Evergreen,Semi-arid,25,1000,0.087,4.5,0.023,386.1,192.4,140.5,178,,
"Banksia 
attenuata",Woody,Evergreen,Semi-arid,22,1500,0.17,25,0.2,380,255,107.9,217,,
Banksia elderia,Woody,Evergreen,Semi-arid,22,1500,0.085,11.5,0.088,380,250,114.7,478,,
"Banksia 
integrifolia",Woody,Evergreen,Semi-arid,22,1250,0.136,18.41,0.167,376.5,246.5,120.2,200.5,,
Banksia margita,Woody,Evergreen,Semi-arid,25,1000,0.056,5.04,0.057,381.9,267.8,175.3,222,,
"Banksia 
oblongifolia",Woody,Evergreen,Semi-arid,25,1000,0.11,9.73,0.065,381.8,229.6,140.9,258,,
Banksia paludosa,Woody,Evergreen,Semi-arid,22,1500,0.15,18,0.129,380,240,120,262,,
Banksia repens,Woody,Evergreen,Semi-arid,22,1500,0.11,13,0.1,380,250,131.8,269,,
Banksia robur,Woody,Evergreen,Semi-arid,25,1000,0.098,5.95,0.044,367.9,224.4,165.4,138,,
Banksia serrata,Woody,Evergreen,Semi-arid,24,1167,0.099,10.82,0.095,387,247.9,142.3,185.3,,
Banksia solandri,Woody,Evergreen,Semi-arid,22,1500,0.17,18,0.12,380,230,124.1,238,,
Banksia spinulosa,Woody,Evergreen,Semi-arid,25,1000,0.039,4.39,0.033,376.3,232.9,119.7,220,,
Beta maritima,Herb,Annual,Semi-arid,25,1500,0.173,21.09,0.36,380,250.2,132.3,37.8,,
Beta vulgaris,Herb,Annual,Temperate,25,1500,0.366,16.9,0.16,375,248.3,197.8,56.5,,7
Betula pubescens,Woody,Deciduous,Temperate,27.6,1000,0.035,4.4,0.038,400,304.8,135.9,49.5,,
Brassica carita,Herb,Annual,Crop,24,450,0.55,10.5,,,320,274,,,
"Bruguiera 
parviflora",Woody,Evergreen,Tropical,,,0.225,12.75,0.4,350,318.1,260.9,,,
Camellia japonica,Woody,Evergreen,Temperate,25,400,0.095,7.1,,370,,,175,,
"Capsicum 
annuum",Herb,Annual,Crop,26.3,1000,0.154,16.37,0.193,400,229,130.7,26.9,,11.47
Carya cathayensis,Woody,Deciduous,Tropical,28,1500,0.18,11.2,0.125,380,213,151,,,
Castanea sativa,Woody,Deciduous,Temperate,,,0.076,6.45,0.054,353.6,252.8,160.2,69.2,4.56,
Catalpa speciosa,Woody,Deciduous,Temperate,26.7,1000,0.166,6.35,0.025,400,128.5,88.3,49.7,,6.54
"Cinamomum 
camphora",Woody,Evergreen,Tropical,25,400,0.06,3.9,0.076,350,298.9,233.9,105,,
Cistus albidus,Woody,Deciduous,Semi-arid,24.6,1500,0.217,17.37,0.171,390,258.9,172.7,100.5,,
Citrus limon,Woody,Evergreen,Crop,25,1200,0.183,12.9,0.106,370,231.6,161.1,99,,
Citrus paradisi,Woody,Evergreen,Crop,,,0.208,20.4,0.219,350,248.5,150.4,108,,
Citrus reticulata,Woody,Evergreen,Tropical,27.2,1000,0.007,1.44,0.015,400,288.5,87.4,83.7,,
"Cneorum 
tricoccon",Woody,Evergreen,Semi-arid,29.9,1500,0.196,17.35,0.123,400,236,144,182,,9.44
"Corymbia 
gummifera",Woody,Evergreen,Semi-arid,25,1000,0.04,3.33,0.034,386.6,288.5,205.4,224,,
Cucumis sativus,Herb,Annual,Crop,,,0.352,17.4,0.166,347.7,259.2,202.2,27,,3.9
"Cypripedium 
flavum",Herb,Annual,Boreal/Alpine,20,1500,0.1,7.36,0.081,358,255.4,168.1,56.7,,
"Dacrydium 
cupressinum",Woody,Conifer,Temperate,,,0.032,5.2,0.059,370,281.9,119.4,138.9,,
Digitalis minor,Herb,Annual,Semi-arid,25,1500,0.174,17.04,0.159,380,267.6,157.3,120.7,,
"Diplotaxis 
ibicensis",Herb,Annual,Semi-arid,25,1500,0.3,26.6,0.319,380,232,144.4,50.2,,
"Eriostemon 
australasius",Woody,Evergreen,Semi-arid,25,1000,0.07,4.12,0.026,381.6,223.3,165.1,145,,
Eucalyptus arecea,Woody,Evergreen,Semi-arid,25,1000,0.25,13.17,0.253,400,266,210.3,,,
"Eucalyptus 
blakelyi",Woody,Evergreen,Tropical,25,1800,0.172,13.92,,360,,,,,
"Eucalyptus 
delegatensis",Woody,Evergreen,Boreal/Alpine,25,1000,0.31,15.13,0.473,400,295,244.3,,,
