species,plant_functional_type,gm,An,gs_CO2,T_mesophyll,T_leaf,fias_mesophyll,Cistar_infered,L_infered,Ci_infered,g_ias,gm_,gs,dgm_,dgs,dg_ias,gamma,dgamma_low,dgamma_high,tau,dtau_low,dtau_high
Abies alba,evergreen gymnosperms,0.081,7.35,0.116,436.0,,0.4,40,436.0,195.0,0.8344147478843221,0.047419354838709675,0.116,0.016200000000000003,0.023200000000000002,0.16688294957686445,0.28755008485212025,0.08393798718181042,0.07507762098530923,0.34538313044091296,0.06631701677013069,0.07124007697234869
Abies alba,evergreen gymnosperms,0.068,7.35,0.116,436.0,,0.4,40,436.0,195.0,0.8344147478843221,0.047419354838709675,0.116,0.013600000000000001,0.023200000000000002,0.16688294957686445,0.28952312705613953,0.0813241453919645,0.07469746525691323,0.3465085527788141,0.06529891351809847,0.06106271764620935
Abies pinsapo,evergreen gymnosperms,0.14,11.54,0.087,792.0,,0.1,40,792.0,181.0,0.11483738323155443,0.08184397163120567,0.087,0.028000000000000004,0.0174,0.022967476646310887,1.5825990924305948,0.4411613981347764,0.41696999144616265,1.634912044746815,0.4994726436888093,0.5082190599957048
Abies pinsapo,evergreen gymnosperms,0.162,11.54,0.087,792.0,,0.1,40,792.0,181.0,0.11483738323155443,0.08184397163120567,0.087,0.032400000000000005,0.0174,0.022967476646310887,1.5977264956133406,0.4430762264493766,0.4291109356605112,1.656284253600647,0.5653454596329994,0.583769619637545
Abies pinsapo,evergreen gymnosperms,0.137,11.5,0.066,809.0,,0.13,40,809.0,185.75757575757578,0.14615150775674715,0.07889812889812889,0.066,0.027400000000000004,0.013200000000000002,0.02923030155134943,0.9362065401650064,0.26163281914050907,0.26378179880992314,1.3134576203851527,0.3558468395663914,0.34420979744801183
Abies pinsapo,evergreen gymnosperms,0.151,11.5,0.066,809.0,,0.13,40,809.0,185.75757575757578,0.14615150775674715,0.07889812889812889,0.066,0.0302,0.013200000000000002,0.02923030155134943,0.9745888316024554,0.2660337290135415,0.2371300455202232,1.3289439435940185,0.4683492165713363,0.4008916963533171
Acer palmatum,deciduous angiosperms,0.052,8.4,0.156,113.3,,0.11,40,113.3,306.15384615384613,0.8830214322270981,0.0315606936416185,0.156,0.0104,0.031200000000000002,0.17660428644541962,0.36806214893479244,0.1032221646523524,0.10650312775149551,0.27024556753689805,0.054041873916739286,0.05435067730982057
Acer rufinerve,deciduous angiosperms,0.047,8.0,0.1,212.2,,0.24,40,212.2,280.0,1.0286658720383537,0.03333333333333333,0.1,0.0094,0.020000000000000004,0.20573317440767075,0.20268664965979943,0.0512250837724294,0.05461231209384437,0.25749656439293583,0.0472019375398908,0.04434689204354236
Arabidopsis thaliana,C3 annual herbaceous,0.171,19.2,0.202,332.0,,0.227,40,332.0,264.950495049505,0.6218651839428248,0.08535211267605633,0.202,0.0342,0.040400000000000005,0.12437303678856496,0.6803058147752656,0.18323317495760977,0.17247381695296093,0.5572636409427887,0.13129745140553878,0.1315843638998967
Arabidopsis thaliana,C3 annual herbaceous,0.113,10.06,0.199,149.6,188.8,0.192,40,149.6,309.4472361809045,1.1672882248478003,0.03733569563595674,0.199,0.022600000000000002,0.0398,0.23345764496956006,0.35745975470155317,0.10013388148123398,0.08825773017558886,0.25625617014326396,0.06921268062710617,0.07332354438523309
