Assession;assimilation_rate;d_assimilation_rate;stomatal_conductance;d_stomatal_conductance;ias_conductance;d_ias_conductance;atmospheric_CO2;compensation_point;d_compensation_point
A1;11,982323232323232;0,69;0,14864864864864866;0,01;1,0987124463519313;0,23;409,353;38,18;0,47
A2;12,476489028213168;1,02;0,09592326139088728;0,02;0,9902475618904727;0,26;409,353;38,18;0,47
A3;16,097560975609756;1,16;0,180722891566265;0,03;0,8936484490398817;0,12;409,353;38,18;0,47
A4;12,091917591125197;0,78;0,0900900900900901;0,01;0,805921052631579;0,15;409,353;38,18;0,47
A5;16,16628175519631;1,4;0,12012012012012013;0,01;0,8814102564102565;0,02;409,353;38,18;0,47
A6;10,31055900621118;0,61;0,07645259938837921;0,01;0,9298780487804877;0,26;409,353;38,18;0,47
A7;11,6729088639201;1,67;0,0900900900900901;0,03;0,8745583038869257;0,05;409,353;38,18;0,47
A8;11,821247892074199;0,94;0,11782032400589101;0,01;0,7533112582781457;0,19;409,353;38,18;0,47
A9;12,510460251046027;0,84;0,10416666666666669;0,01;0,8482490272373542;0,12;409,353;38,18;0,47
A10;9,364791288566245;1,34;0,11869436201780413;0,01;0,7911111111111111;0,09;409,353;38,18;0,47
A11;7,810559006211181;0,81;0,08264462809917356;0,01;0,8710217755443886;0,24;409,353;38,18;0,47
