;accession;assimilation_rate;d_assimilation_rate;stomatal_conductance;d_stomatal_conductance;ias_conductance;d_ias_conductance;atmospheric_CO2;compensation_point;d_compensation_point;substomatal_CO2;d_substomatal_CO2;mesophyll_conductance*;d_mesophyll_conductance*;gamma;dgamma_low;dgamma_high;tau;dtau_low;dtau_high
0;A1;9,49;0,69;0,11;0,04;1,28;0,23;409,353;38,18;0,47;324,40846426628787;42,656886519654584;0,033070204556413615;0,005988112882366044;0,1716177509866623;0,06480885316608605;0,07747700126323404;0,229779556916265;0,028240926917329295;0,03226232731956952
1;A2;7,96;1,02;0,04;0,01;1,32;0,26;409,353;38,18;0,47;217,26564543082296;45,93837738471504;0,044667258389154404;0,025480892961727987;0,061002601996516616;0,01760287134271303;0,02227718939495709;0,26664691099588433;0,08344023725927927;0,07676636980575807
2;A3;7,92;1,16;0,06;0,02;1,21;0,12;409,353;38,18;0,47;280,5894567409612;49,152570261640626;0,03269823310717215;0,009781902383589003;0,09922125962134012;0,03355643227562312;0,034998541927945825;0,2343139498283081;0,03965444933938747;0,035707421445565046
3;A4;7,63;0,78;0,05;0,01;0,98;0,15;409,353;38,18;0,47;256,88901332303703;36,95079788372118;0,03489439761282651;0,0077251425348336695;0,10211762885948408;0,023454959757807703;0,028496944387300188;0,2707201180464446;0,03676749030490051;0,037791951689949865
4;A5;7,0;1,4;0,04;0,01;1,1;0,02;409,353;38,18;0,47;238,4657002017116;50,67486200325548;0,0349874116500817;0,015947727702171396;0,07265471557784042;0,018061646977600897;0,018260881112674807;0,25576055069316506;0,06489546968230556;0,053076073541272084
5;A6;6,64;0,61;0,05;0,01;1,22;0,26;409,353;38,18;0,47;276,17304610767223;33,32572939121285;0,02789820743290267;0,005013149585278702;0,08266299156420162;0,021269516849080114;0,028442842104951876;0,2150309985321734;0,02730759734622437;0,034199051339489195
6;A7;9,35;1,67;0,07;0,02;0,99;0,05;409,353;38,18;0,47;277,2666024701327;47,23152243255131;0,0390597272591431;0,012066076201718965;0,14242436251919335;0,04082531122642577;0,04055677620239276;0,2841792046302287;0,04780162116670625;0,04366784251747058
7;A8;7,01;0,94;0,08;0,02;0,91;0,19;409,353;38,18;0,47;322,1475024911705;31,61920593087711;0,024626814958767312;0,0044130748859258955;0,17532587091495055;0,05093127335727919;0,06683328686353307;0,23453200071253988;0,03063235423262159;0,03603434725890342
8;A9;5,98;0,84;0,03;0,01;1,09;0,12;409,353;38,18;0,47;223,97926334256385;50,55965525418841;0,0323836425444882;0,08413247198878426;0,055012243156984164;0,018558061293806598;0,019726705917488402;0,36706790356164454;0,15895689372480504;0,1597985831976375
9;A10;5,16;1,34;0,04;0,01;0,89;0,09;409,353;38,18;0,47;281,51285013351696;49,2799773818761;0,02103755370902848;0,007898011165269014;0,08968830468060608;0,023277414176111233;0,0252255614534191;0,21885393372218837;0,04519109002662894;0,04052798548510361
10;A11;5,03;0,81;0,02;0,01;1,04;0,24;409,353;38,18;0,47;207,96870263443412;53,51915439847295;0,029632511802514687;0,02526676833481356;0,038984835341783035;0,01881335316147697;0,023824665194971027;0,2569569525395764;0,09546554963521908;0,09038608678972071
