;accession;assimilation_rate;d_assimilation_rate;stomatal_conductance;d_stomatal_conductance;ias_conductance;d_ias_conductance;atmospheric_CO2;compensation_point;d_compensation_point;substomatal_CO2;d_substomatal_CO2;mesophyll_conductance*;d_mesophyll_conductance*;gamma;dgamma_low;dgamma_high;tau;dtau_low;dtau_high
0;A1;11,98;0,69;0,15;0,04;1,1;0,23;409,353;38,18;0,47;322,4537801983923;30,998171624286535;0,042650950719557726;0,005430845853108232;0,28704608872345216;0,09488566578642399;0,09337392268164563;0,2868723588766637;0,03686740649490583;0,03658655771787278
1;A2;12,48;1,02;0,1;0,01;0,99;0,26;409,353;38,18;0,47;283,3542418494094;16,71814980090173;0,05112130241600224;0,005458361078617749;0,21914313043425646;0,06340951093023217;0,057208062179790714;0,33992472905450805;0,05419646376927001;0,0489842189833416
2;A3;16,1;1,16;0,18;0,02;0,89;0,12;409,353;38,18;0,47;318,8683252545585;12,288116691438999;0,057537598474758644;0,004860442449485993;0,41048517137808915;0,07194674044807353;0,06985330819377217;0,370419830812163;0,03099466302527798;0,030822090181536255
3;A4;12,09;0,78;0,09;0,01;0,81;0,15;409,353;38,18;0,47;273,356293119219;18,138768200966542;0,05170336974609115;0,005247001226268093;0,23058117635171316;0,049900689874730564;0,047296127232131724;0,3699196778824883;0,04079685411692807;0,0404851214658995
4;A5;16,17;1,4;0,12;0,01;0,88;0,02;409,353;38,18;0,47;273,5863989357667;16,59660464247308;0,0692146866285785;0,007775319400876695;0,27314478370047224;0,02293065509269321;0,023233249144913204;0,406851434093125;0,024496844081821623;0,024226668005209895
5;A6;10,31;0,61;0,08;0,01;0,93;0,26;409,353;38,18;0,47;278,60262129158883;18,648472240070948;0,043119282385904616;0,004267966081652439;0,19463830668275395;0,06450478000020071;0,04758380267347784;0,32253741015016874;0,05295572933400866;0,04711403516116347
6;A7;11,67;1,67;0,09;0,02;0,87;0,05;409,353;38,18;0,47;272,7459797089485;39,93779102946904;0,051151922592346855;0,012473681893625604;0,2074339406938744;0,04712344143694189;0,04683461861441238;0,3478378146515355;0,04510746495720597;0,04571540211252145
7;A8;11,82;0,94;0,12;0,02;0,75;0,19;409,353;38,18;0,47;307,85198049553276;20,511889006072156;0,04410729937084471;0,004927379585357736;0,3482279160848269;0,10751758921938506;0,09408434445102765;0,36143645774208427;0,054728141296479293;0,05026401931338442
8;A9;12,51;0,84;0,1;0,01;0,85;0,12;409,353;38,18;0,47;283,1406493040964;15,43856395799656;0,0512735868163284;0,004721125476315077;0,2397597141302982;0,0410603874914392;0,04076854583037351;0,3574700828273136;0,031762894370113814;0,0309784770800835
9;A10;9,36;1,34;0,12;0,01;0,79;0,09;409,353;38,18;0,47;330,6823108885684;13,18454811972772;0,03213520627829592;0,004778932145610566;0,3073212668444013;0,042876937045986;0,04270084675390162;0,28999019950954835;0,027533583514688764;0,028055446489126834
10;A11;7,81;0,81;0,08;0,01;0,87;0,24;409,353;38,18;0,47;309,99859558788745;16,75553650619045;0,028851566169566946;0,0035038601461770316;0,20376293013524732;0,06411991759227706;0,056750359629436364;0,2697307940971419;0,04427503376730563;0,040070453798490724
